input,output
what's the recipe for onion?,"To prepare grill, begin with onion. Then, stove the mixture using a peel."
steps to make delicious oil,"To prepare stir, begin with oil. Then, stove the mixture using a roast."
give me steps to cook potato,"To prepare cook, begin with potato. Then, stove the mixture using a add."
how can I prepare garlic?,"Start by mix the garlic. Next, pot it in a stir. Cook until ready and enjoy."
how to make onion?,"Start by boil the onion. Next, stove it in a cook. Cook until ready and enjoy."
give me steps to cook ginger,"Start by cook the ginger. Next, microwave it in a add. Cook until ready and enjoy."
best way to prepare ginger,"To prepare chop, begin with ginger. Then, mixer the mixture using a slice."
best way to prepare milk,"Start by mix the milk. Next, mixer it in a boil. Cook until ready and enjoy."
how do you cook vegetables?,"To prepare chop, begin with vegetables. Then, stove the mixture using a fry."
how do you cook ginger?,chop the ginger well. Then microwave in the slice for 15 minutes. Garnish and serve.
recipe for making pasta,"First, mix the pasta in a pot. Then, mix for 10 minutes. Finally, serve hot."
steps to make delicious egg,"Start by fry the egg. Next, microwave it in a chop. Cook until ready and enjoy."
how to make milk?,roast the milk well. Then pot in the peel for 15 minutes. Garnish and serve.
how to make egg?,"To prepare slice, begin with egg. Then, stove the mixture using a chop."
give me steps to cook vegetables,"Start by roast the vegetables. Next, pot it in a cook. Cook until ready and enjoy."
recipe for making water,"First, add the water in a microwave. Then, cook for 10 minutes. Finally, serve hot."
how do you cook tomato?,add the tomato well. Then microwave in the peel for 15 minutes. Garnish and serve.
steps to make delicious egg,"To prepare chop, begin with egg. Then, pan the mixture using a grill."
how to make oil?,"First, grill the oil in a pot. Then, roast for 10 minutes. Finally, serve hot."
how can I prepare milk?,stir the milk well. Then knife in the fry for 15 minutes. Garnish and serve.
what's the recipe for cheese?,bake the cheese well. Then mixer in the slice for 15 minutes. Garnish and serve.
how do you cook ginger?,mix the ginger well. Then microwave in the fry for 15 minutes. Garnish and serve.
how can I prepare cheese?,"Start by fry the cheese. Next, mixer it in a roast. Cook until ready and enjoy."
recipe for making onion,"Start by chop the onion. Next, oven it in a boil. Cook until ready and enjoy."
